Format,2.0A,
Memory Length,5000,Memory Length,5000,Memory Length,5000,
Trigger Level,120V,Trigger Level,120V,Trigger Level,120V,
Source,CH1,Source,CH2,Source,Math,
Label, ,Label, ,Label, ,
Probe Ratio,1.000E+01,Probe Ratio,1.000E+01,Probe Ratio,1.000E+00,
Vertical Units,V,Vertical Units,V,Vertical Units,V,
Vertical Scale,5.000E+00,Vertical Scale,1.000E+02,Vertical Scale,1.000E+02,
Vertical Position,-1.120E+01,Vertical Position,-2.400E+02,Vertical Position,0.000E+00,
Horizontal Units,S,Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-08,Horizontal Scale,5.000E-08,Horizontal Scale,2.000E-07,
Horizontal Position,1.305E-07,Horizontal Position,1.305E-07,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,1.000E-09,Sampling Period,1.000E-09,Sampling Period,1.000E-09,
Firmware,V1.21,Firmware,V1.21,Firmware,V1.21,
Time,11-Jun-22 15:12:41,Time,11-Jun-22 15:12:41,Time,11-Jun-22 15:12:41,
Mode,Detail,Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,Waveform Data,,
-1.221500e-06,1.200000,-1.221500e-06,436.000000,-1.352000e-06,-512.000000,
-1.220500e-06,1.200000,-1.220500e-06,436.000000,-1.351000e-06,-512.000000,
-1.219500e-06,1.200000,-1.219500e-06,436.000000,-1.350000e-06,-512.000000,
-1.218500e-06,1.200000,-1.218500e-06,436.000000,-1.349000e-06,-512.000000,
-1.217500e-06,1.200000,-1.217500e-06,436.000000,-1.348000e-06,-512.000000,
-1.216500e-06,1.200000,-1.216500e-06,436.000000,-1.347000e-06,-512.000000,
-1.215500e-06,1.200000,-1.215500e-06,436.000000,-1.346000e-06,-512.000000,
-1.214500e-06,1.200000,-1.214500e-06,436.000000,-1.345000e-06,-512.000000,
-1.213500e-06,1.200000,-1.213500e-06,436.000000,-1.344000e-06,-512.000000,
-1.212500e-06,1.200000,-1.212500e-06,436.000000,-1.343000e-06,-512.000000,
-1.211500e-06,1.200000,-1.211500e-06,436.000000,-1.342000e-06,-512.000000,
-1.210500e-06,1.200000,-1.210500e-06,436.000000,-1.341000e-06,-512.000000,
-1.209500e-06,1.200000,-1.209500e-06,432.000000,-1.340000e-06,-512.000000,
-1.208500e-06,1.200000,-1.208500e-06,436.000000,-1.339000e-06,-512.000000,
-1.207500e-06,1.200000,-1.207500e-06,436.000000,-1.338000e-06,-512.000000,
-1.206500e-06,1.200000,-1.206500e-06,436.000000,-1.337000e-06,-512.000000,
-1.205500e-06,1.200000,-1.205500e-06,436.000000,-1.336000e-06,-512.000000,
-1.204500e-06,1.200000,-1.204500e-06,436.000000,-1.335000e-06,-512.000000,
-1.203500e-06,1.200000,-1.203500e-06,436.000000,-1.334000e-06,-512.000000,
-1.202500e-06,1.200000,-1.202500e-06,436.000000,-1.333000e-06,-512.000000,
-1.201500e-06,1.200000,-1.201500e-06,436.000000,-1.332000e-06,-512.000000,
-1.200500e-06,1.200000,-1.200500e-06,436.000000,-1.331000e-06,-512.000000,
-1.199500e-06,1.200000,-1.199500e-06,436.000000,-1.330000e-06,-512.000000,
-1.198500e-06,1.200000,-1.198500e-06,436.000000,-1.329000e-06,-512.000000,
-1.197500e-06,1.200000,-1.197500e-06,436.000000,-1.328000e-06,-512.000000,
-1.196500e-06,1.200000,-1.196500e-06,436.000000,-1.327000e-06,-512.000000,
-1.195500e-06,1.200000,-1.195500e-06,436.000000,-1.326000e-06,-512.000000,
-1.194500e-06,1.200000,-1.194500e-06,436.000000,-1.325000e-06,-512.000000,
-1.193500e-06,1.200000,-1.193500e-06,436.000000,-1.324000e-06,-512.000000,
-1.192500e-06,1.200000,-1.192500e-06,436.000000,-1.323000e-06,-512.000000,
-1.191500e-06,1.200000,-1.191500e-06,436.000000,-1.322000e-06,-512.000000,
-1.190500e-06,1.200000,-1.190500e-06,436.000000,-1.321000e-06,-512.000000,
-1.189500e-06,1.200000,-1.189500e-06,436.000000,-1.320000e-06,-512.000000,
-1.188500e-06,1.200000,-1.188500e-06,436.000000,-1.319000e-06,-512.000000,
-1.187500e-06,1.200000,-1.187500e-06,436.000000,-1.318000e-06,-512.000000,
-1.186500e-06,1.200000,-1.186500e-06,436.000000,-1.317000e-06,-512.000000,
-1.185500e-06,1.200000,-1.185500e-06,436.000000,-1.316000e-06,-512.000000,
-1.184500e-06,1.200000,-1.184500e-06,436.000000,-1.315000e-06,-512.000000,
-1.183500e-06,1.200000,-1.183500e-06,436.000000,-1.314000e-06,-512.000000,
-1.182500e-06,1.200000,-1.182500e-06,436.000000,-1.313000e-06,-512.000000,
-1.181500e-06,1.400000,-1.181500e-06,436.000000,-1.312000e-06,-512.000000,
-1.180500e-06,1.200000,-1.180500e-06,436.000000,-1.311000e-06,-512.000000,
-1.179500e-06,1.200000,-1.179500e-06,436.000000,-1.310000e-06,-512.000000,
-1.178500e-06,1.200000,-1.178500e-06,436.000000,-1.309000e-06,-512.000000,
-1.177500e-06,1.200000,-1.177500e-06,436.000000,-1.308000e-06,-512.000000,
-1.176500e-06,1.200000,-1.176500e-06,436.000000,-1.307000e-06,-512.000000,
-1.175500e-06,1.200000,-1.175500e-06,436.000000,-1.306000e-06,-512.000000,
-1.174500e-06,1.200000,-1.174500e-06,436.000000,-1.305000e-06,-512.000000,
-1.173500e-06,1.200000,-1.173500e-06,436.000000,-1.304000e-06,-512.000000,
-1.172500e-06,1.200000,-1.172500e-06,436.000000,-1.303000e-06,-512.000000,
-1.171500e-06,1.200000,-1.171500e-06,436.000000,-1.302000e-06,-512.000000,
-1.170500e-06,1.200000,-1.170500e-06,436.000000,-1.301000e-06,-512.000000,
-1.169500e-06,1.200000,-1.169500e-06,436.000000,-1.300000e-06,-512.000000,
-1.168500e-06,1.200000,-1.168500e-06,436.000000,-1.299000e-06,-512.000000,
-1.167500e-06,1.200000,-1.167500e-06,436.000000,-1.298000e-06,-512.000000,
-1.166500e-06,1.200000,-1.166500e-06,436.000000,-1.297000e-06,-512.000000,
-1.165500e-06,1.000000,-1.165500e-06,436.000000,-1.296000e-06,-512.000000,
-1.164500e-06,1.200000,-1.164500e-06,436.000000,-1.295000e-06,-512.000000,
-1.163500e-06,1.200000,-1.163500e-06,436.000000,-1.294000e-06,-512.000000,
-1.162500e-06,1.000000,-1.162500e-06,436.000000,-1.293000e-06,-512.000000,
-1.161500e-06,1.200000,-1.161500e-06,436.000000,-1.292000e-06,-512.000000,
-1.160500e-06,1.200000,-1.160500e-06,436.000000,-1.291000e-06,-512.000000,
-1.159500e-06,1.200000,-1.159500e-06,436.000000,-1.290000e-06,-512.000000,
-1.158500e-06,1.200000,-1.158500e-06,436.000000,-1.289000e-06,-512.000000,
-1.157500e-06,1.200000,-1.157500e-06,436.000000,-1.288000e-06,-512.000000,
-1.156500e-06,1.200000,-1.156500e-06,436.000000,-1.287000e-06,-512.000000,
-1.155500e-06,1.200000,-1.155500e-06,436.000000,-1.286000e-06,-512.000000,
-1.154500e-06,1.200000,-1.154500e-06,436.000000,-1.285000e-06,-512.000000,
-1.153500e-06,1.200000,-1.153500e-06,436.000000,-1.284000e-06,-512.000000,
-1.152500e-06,1.200000,-1.152500e-06,436.000000,-1.283000e-06,-512.000000,
-1.151500e-06,1.400000,-1.151500e-06,436.000000,-1.282000e-06,-512.000000,
-1.150500e-06,1.200000,-1.150500e-06,436.000000,-1.281000e-06,-512.000000,
-1.149500e-06,1.200000,-1.149500e-06,436.000000,-1.280000e-06,-512.000000,
-1.148500e-06,1.200000,-1.148500e-06,436.000000,-1.279000e-06,-512.000000,
-1.147500e-06,1.200000,-1.147500e-06,436.000000,-1.278000e-06,-512.000000,
-1.146500e-06,1.200000,-1.146500e-06,436.000000,-1.277000e-06,-512.000000,
-1.145500e-06,1.200000,-1.145500e-06,436.000000,-1.276000e-06,-512.000000,
-1.144500e-06,1.200000,-1.144500e-06,436.000000,-1.275000e-06,-512.000000,
-1.143500e-06,1.200000,-1.143500e-06,436.000000,-1.274000e-06,-512.000000,
-1.142500e-06,1.200000,-1.142500e-06,436.000000,-1.273000e-06,-512.000000,
-1.141500e-06,1.200000,-1.141500e-06,436.000000,-1.272000e-06,-512.000000,
-1.140500e-06,1.200000,-1.140500e-06,436.000000,-1.271000e-06,-512.000000,
-1.139500e-06,1.200000,-1.139500e-06,436.000000,-1.270000e-06,-512.000000,
-1.138500e-06,1.200000,-1.138500e-06,436.000000,-1.269000e-06,-512.000000,
-1.137500e-06,1.200000,-1.137500e-06,436.000000,-1.268000e-06,-512.000000,
-1.136500e-06,1.200000,-1.136500e-06,436.000000,-1.267000e-06,-512.000000,
-1.135500e-06,1.200000,-1.135500e-06,436.000000,-1.266000e-06,-512.000000,
-1.134500e-06,1.200000,-1.134500e-06,436.000000,-1.265000e-06,-512.000000,
-1.133500e-06,1.200000,-1.133500e-06,436.000000,-1.264000e-06,-512.000000,
-1.132500e-06,1.200000,-1.132500e-06,436.000000,-1.263000e-06,-512.000000,
-1.131500e-06,1.200000,-1.131500e-06,436.000000,-1.262000e-06,-512.000000,
-1.130500e-06,1.200000,-1.130500e-06,436.000000,-1.261000e-06,-512.000000,
-1.129500e-06,1.200000,-1.129500e-06,436.000000,-1.260000e-06,-512.000000,
-1.128500e-06,1.200000,-1.128500e-06,436.000000,-1.259000e-06,-512.000000,
-1.127500e-06,1.200000,-1.127500e-06,436.000000,-1.258000e-06,-512.000000,
-1.126500e-06,1.200000,-1.126500e-06,436.000000,-1.257000e-06,-512.000000,
-1.125500e-06,1.200000,-1.125500e-06,436.000000,-1.256000e-06,-512.000000,
-1.124500e-06,1.200000,-1.124500e-06,436.000000,-1.255000e-06,-512.000000,
-1.123500e-06,1.400000,-1.123500e-06,436.000000,-1.254000e-06,-512.000000,
-1.122500e-06,1.200000,-1.122500e-06,436.000000,-1.253000e-06,-512.000000,
-1.121500e-06,1.200000,-1.121500e-06,436.000000,-1.252000e-06,-512.000000,
-1.120500e-06,1.200000,-1.120500e-06,436.000000,-1.251000e-06,-512.000000,
-1.119500e-06,1.200000,-1.119500e-06,436.000000,-1.250000e-06,-512.000000,
-1.118500e-06,1.200000,-1.118500e-06,436.000000,-1.249000e-06,-512.000000,
-1.117500e-06,1.200000,-1.117500e-06,436.000000,-1.248000e-06,-512.000000,
-1.116500e-06,1.200000,-1.116500e-06,436.000000,-1.247000e-06,-512.000000,
-1.115500e-06,1.200000,-1.115500e-06,436.000000,-1.246000e-06,-512.000000,
-1.114500e-06,1.200000,-1.114500e-06,436.000000,-1.245000e-06,-512.000000,
-1.113500e-06,1.200000,-1.113500e-06,436.000000,-1.244000e-06,-512.000000,
-1.112500e-06,1.200000,-1.112500e-06,436.000000,-1.243000e-06,-512.000000,
-1.111500e-06,1.200000,-1.111500e-06,436.000000,-1.242000e-06,-512.000000,
-1.110500e-06,1.200000,-1.110500e-06,436.000000,-1.241000e-06,-512.000000,
-1.109500e-06,1.200000,-1.109500e-06,436.000000,-1.240000e-06,-512.000000,
-1.108500e-06,1.200000,-1.108500e-06,436.000000,-1.239000e-06,-512.000000,
-1.107500e-06,1.200000,-1.107500e-06,436.000000,-1.238000e-06,-512.000000,
-1.106500e-06,1.200000,-1.106500e-06,436.000000,-1.237000e-06,-512.000000,
-1.105500e-06,1.200000,-1.105500e-06,436.000000,-1.236000e-06,-512.000000,
-1.104500e-06,1.200000,-1.104500e-06,436.000000,-1.235000e-06,-512.000000,
-1.103500e-06,1.200000,-1.103500e-06,436.000000,-1.234000e-06,-512.000000,
-1.102500e-06,1.200000,-1.102500e-06,436.000000,-1.233000e-06,-512.000000,
-1.101500e-06,1.200000,-1.101500e-06,436.000000,-1.232000e-06,-512.000000,
-1.100500e-06,1.200000,-1.100500e-06,436.000000,-1.231000e-06,-512.000000,
-1.099500e-06,1.200000,-1.099500e-06,436.000000,-1.230000e-06,-512.000000,
-1.098500e-06,1.200000,-1.098500e-06,436.000000,-1.229000e-06,-512.000000,
-1.097500e-06,1.200000,-1.097500e-06,436.000000,-1.228000e-06,-512.000000,
-1.096500e-06,1.200000,-1.096500e-06,436.000000,-1.227000e-06,-512.000000,
-1.095500e-06,1.200000,-1.095500e-06,436.000000,-1.226000e-06,-512.000000,
-1.094500e-06,1.200000,-1.094500e-06,436.000000,-1.225000e-06,-512.000000,
-1.093500e-06,1.200000,-1.093500e-06,436.000000,-1.224000e-06,-512.000000,
-1.092500e-06,1.200000,-1.092500e-06,436.000000,-1.223000e-06,-512.000000,
-1.091500e-06,1.200000,-1.091500e-06,436.000000,-1.222000e-06,-512.000000,
-1.090500e-06,1.200000,-1.090500e-06,436.000000,-1.221000e-06,-512.000000,
-1.089500e-06,1.200000,-1.089500e-06,436.000000,-1.220000e-06,-512.000000,
-1.088500e-06,1.200000,-1.088500e-06,436.000000,-1.219000e-06,-512.000000,
-1.087500e-06,1.200000,-1.087500e-06,436.000000,-1.218000e-06,-512.000000,
-1.086500e-06,1.200000,-1.086500e-06,436.000000,-1.217000e-06,-512.000000,
-1.085500e-06,1.200000,-1.085500e-06,436.000000,-1.216000e-06,-512.000000,
-1.084500e-06,1.200000,-1.084500e-06,436.000000,-1.215000e-06,-512.000000,
-1.083500e-06,1.200000,-1.083500e-06,436.000000,-1.214000e-06,-512.000000,
-1.082500e-06,1.200000,-1.082500e-06,436.000000,-1.213000e-06,-512.000000,
-1.081500e-06,1.200000,-1.081500e-06,436.000000,-1.212000e-06,-512.000000,
-1.080500e-06,1.200000,-1.080500e-06,436.000000,-1.211000e-06,-512.000000,
-1.079500e-06,1.200000,-1.079500e-06,436.000000,-1.210000e-06,-512.000000,
-1.078500e-06,1.200000,-1.078500e-06,432.000000,-1.209000e-06,-512.000000,
-1.077500e-06,1.200000,-1.077500e-06,436.000000,-1.208000e-06,-512.000000,
-1.076500e-06,1.200000,-1.076500e-06,436.000000,-1.207000e-06,-512.000000,
-1.075500e-06,1.200000,-1.075500e-06,436.000000,-1.206000e-06,-512.000000,
-1.074500e-06,1.200000,-1.074500e-06,436.000000,-1.205000e-06,-512.000000,
-1.073500e-06,1.200000,-1.073500e-06,436.000000,-1.204000e-06,-512.000000,
-1.072500e-06,1.200000,-1.072500e-06,436.000000,-1.203000e-06,-512.000000,
-1.071500e-06,1.200000,-1.071500e-06,436.000000,-1.202000e-06,-512.000000,
-1.070500e-06,1.200000,-1.070500e-06,436.000000,-1.201000e-06,-512.000000,
-1.069500e-06,1.200000,-1.069500e-06,436.000000,-1.200000e-06,-512.000000,
-1.068500e-06,1.200000,-1.068500e-06,436.000000,-1.199000e-06,-512.000000,
-1.067500e-06,1.200000,-1.067500e-06,436.000000,-1.198000e-06,-512.000000,
-1.066500e-06,1.200000,-1.066500e-06,436.000000,-1.197000e-06,-512.000000,
-1.065500e-06,1.000000,-1.065500e-06,436.000000,-1.196000e-06,-512.000000,
-1.064500e-06,1.200000,-1.064500e-06,436.000000,-1.195000e-06,-512.000000,
-1.063500e-06,1.200000,-1.063500e-06,436.000000,-1.194000e-06,-512.000000,
-1.062500e-06,1.200000,-1.062500e-06,436.000000,-1.193000e-06,-512.000000,
-1.061500e-06,1.200000,-1.061500e-06,436.000000,-1.192000e-06,-512.000000,
-1.060500e-06,1.200000,-1.060500e-06,436.000000,-1.191000e-06,-512.000000,
-1.059500e-06,1.200000,-1.059500e-06,436.000000,-1.190000e-06,-512.000000,
-1.058500e-06,1.200000,-1.058500e-06,436.000000,-1.189000e-06,-512.000000,
-1.057500e-06,1.200000,-1.057500e-06,436.000000,-1.188000e-06,-512.000000,
-1.056500e-06,1.200000,-1.056500e-06,436.000000,-1.187000e-06,-512.000000,
-1.055500e-06,1.200000,-1.055500e-06,436.000000,-1.186000e-06,-512.000000,
-1.054500e-06,1.200000,-1.054500e-06,436.000000,-1.185000e-06,-512.000000,
-1.053500e-06,1.200000,-1.053500e-06,436.000000,-1.184000e-06,-512.000000,
-1.052500e-06,1.200000,-1.052500e-06,436.000000,-1.183000e-06,-512.000000,
-1.051500e-06,1.200000,-1.051500e-06,436.000000,-1.182000e-06,-512.000000,
-1.050500e-06,1.200000,-1.050500e-06,436.000000,-1.181000e-06,-512.000000,
-1.049500e-06,1.200000,-1.049500e-06,436.000000,-1.180000e-06,-512.000000,
-1.048500e-06,1.200000,-1.048500e-06,436.000000,-1.179000e-06,-512.000000,
-1.047500e-06,1.200000,-1.047500e-06,436.000000,-1.178000e-06,-512.000000,
-1.046500e-06,1.200000,-1.046500e-06,436.000000,-1.177000e-06,-512.000000,
-1.045500e-06,1.200000,-1.045500e-06,436.000000,-1.176000e-06,-512.000000,
-1.044500e-06,1.200000,-1.044500e-06,436.000000,-1.175000e-06,-512.000000,
-1.043500e-06,1.200000,-1.043500e-06,436.000000,-1.174000e-06,-512.000000,
-1.042500e-06,1.200000,-1.042500e-06,436.000000,-1.173000e-06,-512.000000,
-1.041500e-06,1.200000,-1.041500e-06,436.000000,-1.172000e-06,-512.000000,
-1.040500e-06,1.200000,-1.040500e-06,436.000000,-1.171000e-06,-512.000000,
-1.039500e-06,1.200000,-1.039500e-06,436.000000,-1.170000e-06,-512.000000,
-1.038500e-06,1.200000,-1.038500e-06,436.000000,-1.169000e-06,-512.000000,
-1.037500e-06,1.200000,-1.037500e-06,436.000000,-1.168000e-06,-512.000000,
-1.036500e-06,1.200000,-1.036500e-06,436.000000,-1.167000e-06,-512.000000,
-1.035500e-06,1.200000,-1.035500e-06,436.000000,-1.166000e-06,-512.000000,
-1.034500e-06,1.200000,-1.034500e-06,436.000000,-1.165000e-06,-512.000000,
-1.033500e-06,1.200000,-1.033500e-06,436.000000,-1.164000e-06,-512.000000,
-1.032500e-06,1.200000,-1.032500e-06,436.000000,-1.163000e-06,-512.000000,
-1.031500e-06,1.200000,-1.031500e-06,436.000000,-1.162000e-06,-512.000000,
-1.030500e-06,1.200000,-1.030500e-06,436.000000,-1.161000e-06,-512.000000,
-1.029500e-06,1.200000,-1.029500e-06,436.000000,-1.160000e-06,-512.000000,
-1.028500e-06,1.200000,-1.028500e-06,436.000000,-1.159000e-06,-512.000000,
-1.027500e-06,1.200000,-1.027500e-06,436.000000,-1.158000e-06,-512.000000,
-1.026500e-06,1.200000,-1.026500e-06,436.000000,-1.157000e-06,-512.000000,
-1.025500e-06,1.200000,-1.025500e-06,432.000000,-1.156000e-06,-512.000000,
-1.024500e-06,1.200000,-1.024500e-06,436.000000,-1.155000e-06,-512.000000,
-1.023500e-06,1.200000,-1.023500e-06,432.000000,-1.154000e-06,-512.000000,
-1.022500e-06,1.200000,-1.022500e-06,436.000000,-1.153000e-06,-512.000000,
-1.021500e-06,1.200000,-1.021500e-06,436.000000,-1.152000e-06,-512.000000,
-1.020500e-06,1.200000,-1.020500e-06,436.000000,-1.151000e-06,-512.000000,
-1.019500e-06,1.200000,-1.019500e-06,436.000000,-1.150000e-06,-512.000000,
-1.018500e-06,1.200000,-1.018500e-06,436.000000,-1.149000e-06,-512.000000,
-1.017500e-06,1.200000,-1.017500e-06,436.000000,-1.148000e-06,-512.000000,
-1.016500e-06,1.200000,-1.016500e-06,436.000000,-1.147000e-06,-512.000000,
-1.015500e-06,1.200000,-1.015500e-06,436.000000,-1.146000e-06,-512.000000,
-1.014500e-06,1.200000,-1.014500e-06,436.000000,-1.145000e-06,-512.000000,
-1.013500e-06,1.200000,-1.013500e-06,436.000000,-1.144000e-06,-512.000000,
-1.012500e-06,1.200000,-1.012500e-06,436.000000,-1.143000e-06,-512.000000,
-1.011500e-06,1.200000,-1.011500e-06,436.000000,-1.142000e-06,-512.000000,
-1.010500e-06,1.200000,-1.010500e-06,436.000000,-1.141000e-06,-512.000000,
-1.009500e-06,1.200000,-1.009500e-06,436.000000,-1.140000e-06,-512.000000,
-1.008500e-06,1.200000,-1.008500e-06,436.000000,-1.139000e-06,-512.000000,
-1.007500e-06,1.200000,-1.007500e-06,436.000000,-1.138000e-06,-512.000000,
-1.006500e-06,1.200000,-1.006500e-06,436.000000,-1.137000e-06,-512.000000,
-1.005500e-06,1.200000,-1.005500e-06,432.000000,-1.136000e-06,-512.000000,
-1.004500e-06,1.200000,-1.004500e-06,436.000000,-1.135000e-06,-512.000000,
-1.003500e-06,1.200000,-1.003500e-06,436.000000,-1.134000e-06,-512.000000,
-1.002500e-06,1.200000,-1.002500e-06,436.000000,-1.133000e-06,-512.000000,
-1.001500e-06,1.200000,-1.001500e-06,436.000000,-1.132000e-06,-512.000000,
-1.000500e-06,1.200000,-1.000500e-06,436.000000,-1.131000e-06,-512.000000,
-9.995000e-07,1.200000,-9.995000e-07,436.000000,-1.130000e-06,-512.000000,
-9.985000e-07,1.200000,-9.985000e-07,436.000000,-1.129000e-06,-512.000000,
-9.975000e-07,1.200000,-9.975000e-07,436.000000,-1.128000e-06,-512.000000,
-9.965000e-07,1.200000,-9.965000e-07,436.000000,-1.127000e-06,-512.000000,
-9.955000e-07,1.200000,-9.955000e-07,436.000000,-1.126000e-06,-512.000000,
-9.945000e-07,1.200000,-9.945000e-07,436.000000,-1.125000e-06,-512.000000,
-9.935000e-07,1.200000,-9.935000e-07,436.000000,-1.124000e-06,-512.000000,
-9.925000e-07,1.200000,-9.925000e-07,436.000000,-1.123000e-06,-512.000000,
-9.915000e-07,1.200000,-9.915000e-07,436.000000,-1.122000e-06,-512.000000,
-9.905000e-07,1.200000,-9.905000e-07,436.000000,-1.121000e-06,-512.000000,
-9.895000e-07,1.200000,-9.895000e-07,436.000000,-1.120000e-06,-512.000000,
-9.885000e-07,1.200000,-9.885000e-07,436.000000,-1.119000e-06,-512.000000,
-9.875000e-07,1.200000,-9.875000e-07,436.000000,-1.118000e-06,-512.000000,
-9.865000e-07,1.200000,-9.865000e-07,436.000000,-1.117000e-06,-512.000000,
-9.855000e-07,1.200000,-9.855000e-07,436.000000,-1.116000e-06,-512.000000,
-9.845000e-07,1.200000,-9.845000e-07,436.000000,-1.115000e-06,-512.000000,
-9.835000e-07,1.200000,-9.835000e-07,432.000000,-1.114000e-06,-512.000000,
-9.825000e-07,1.200000,-9.825000e-07,436.000000,-1.113000e-06,-512.000000,
-9.815000e-07,1.000000,-9.815000e-07,436.000000,-1.112000e-06,-512.000000,
-9.805000e-07,1.200000,-9.805000e-07,436.000000,-1.111000e-06,-512.000000,
-9.795000e-07,1.200000,-9.795000e-07,436.000000,-1.110000e-06,-512.000000,
-9.785000e-07,1.200000,-9.785000e-07,436.000000,-1.109000e-06,-512.000000,
-9.775000e-07,1.200000,-9.775000e-07,432.000000,-1.108000e-06,-512.000000,
-9.765000e-07,1.200000,-9.765000e-07,436.000000,-1.107000e-06,-512.000000,
-9.755000e-07,1.200000,-9.755000e-07,436.000000,-1.106000e-06,-512.000000,
-9.745000e-07,1.200000,-9.745000e-07,436.000000,-1.105000e-06,-512.000000,
-9.735000e-07,1.200000,-9.735000e-07,436.000000,-1.104000e-06,-512.000000,
-9.725000e-07,1.200000,-9.725000e-07,436.000000,-1.103000e-06,-512.000000,
-9.715000e-07,1.200000,-9.715000e-07,436.000000,-1.102000e-06,-512.000000,
-9.705000e-07,1.200000,-9.705000e-07,436.000000,-1.101000e-06,-512.000000,
-9.695000e-07,1.200000,-9.695000e-07,436.000000,-1.100000e-06,-512.000000,
-9.685000e-07,1.200000,-9.685000e-07,436.000000,-1.099000e-06,-512.000000,
-9.675000e-07,1.200000,-9.675000e-07,436.000000,-1.098000e-06,-512.000000,
-9.665000e-07,1.200000,-9.665000e-07,436.000000,-1.097000e-06,-512.000000,
-9.655000e-07,1.200000,-9.655000e-07,436.000000,-1.096000e-06,-512.000000,
-9.645000e-07,1.200000,-9.645000e-07,436.000000,-1.095000e-06,-512.000000,
-9.635000e-07,1.200000,-9.635000e-07,436.000000,-1.094000e-06,-512.000000,
-9.625000e-07,1.200000,-9.625000e-07,436.000000,-1.093000e-06,-512.000000,
-9.615000e-07,1.200000,-9.615000e-07,436.000000,-1.092000e-06,-512.000000,
-9.605000e-07,1.200000,-9.605000e-07,436.000000,-1.091000e-06,-512.000000,
-9.595000e-07,1.200000,-9.595000e-07,436.000000,-1.090000e-06,-512.000000,
-9.585000e-07,1.200000,-9.585000e-07,436.000000,-1.089000e-06,-512.000000,
-9.575000e-07,1.200000,-9.575000e-07,436.000000,-1.088000e-06,-512.000000,
-9.565000e-07,1.200000,-9.565000e-07,436.000000,-1.087000e-06,-512.000000,
-9.555000e-07,1.200000,-9.555000e-07,436.000000,-1.086000e-06,-512.000000,
-9.545000e-07,1.200000,-9.545000e-07,436.000000,-1.085000e-06,-512.000000,
-9.535000e-07,1.200000,-9.535000e-07,436.000000,-1.084000e-06,-512.000000,
-9.525000e-07,1.200000,-9.525000e-07,436.000000,-1.083000e-06,-512.000000,
-9.515000e-07,1.200000,-9.515000e-07,436.000000,-1.082000e-06,-512.000000,
-9.505000e-07,1.200000,-9.505000e-07,436.000000,-1.081000e-06,-512.000000,
-9.495000e-07,1.000000,-9.495000e-07,436.000000,-1.080000e-06,-512.000000,
-9.485000e-07,1.200000,-9.485000e-07,436.000000,-1.079000e-06,-512.000000,
-9.475000e-07,1.000000,-9.475000e-07,436.000000,-1.078000e-06,-512.000000,
-9.465000e-07,1.200000,-9.465000e-07,436.000000,-1.077000e-06,-512.000000,
-9.455000e-07,1.200000,-9.455000e-07,436.000000,-1.076000e-06,-512.000000,
-9.445000e-07,1.200000,-9.445000e-07,436.000000,-1.075000e-06,-512.000000,
-9.435000e-07,1.200000,-9.435000e-07,436.000000,-1.074000e-06,-512.000000,
-9.425000e-07,1.200000,-9.425000e-07,436.000000,-1.073000e-06,-512.000000,
-9.415000e-07,1.200000,-9.415000e-07,436.000000,-1.072000e-06,-512.000000,
-9.405000e-07,1.200000,-9.405000e-07,436.000000,-1.071000e-06,-512.000000,
-9.395000e-07,1.200000,-9.395000e-07,436.000000,-1.070000e-06,-512.000000,
-9.385000e-07,1.200000,-9.385000e-07,436.000000,-1.069000e-06,-512.000000,
-9.375000e-07,1.200000,-9.375000e-07,436.000000,-1.068000e-06,-512.000000,
-9.365000e-07,1.200000,-9.365000e-07,436.000000,-1.067000e-06,-512.000000,
-9.355000e-07,1.200000,-9.355000e-07,436.000000,-1.066000e-06,-512.000000,
-9.345000e-07,1.200000,-9.345000e-07,436.000000,-1.065000e-06,-512.000000,
-9.335000e-07,1.200000,-9.335000e-07,436.000000,-1.064000e-06,-512.000000,
-9.325000e-07,1.200000,-9.325000e-07,436.000000,-1.063000e-06,-512.000000,
-9.315000e-07,1.200000,-9.315000e-07,436.000000,-1.062000e-06,-512.000000,
-9.305000e-07,1.200000,-9.305000e-07,436.000000,-1.061000e-06,-512.000000,
-9.295000e-07,1.200000,-9.295000e-07,436.000000,-1.060000e-06,-512.000000,
-9.285000e-07,1.200000,-9.285000e-07,436.000000,-1.059000e-06,-512.000000,
-9.275000e-07,1.200000,-9.275000e-07,436.000000,-1.058000e-06,-512.000000,
-9.265000e-07,1.200000,-9.265000e-07,436.000000,-1.057000e-06,-512.000000,
-9.255000e-07,1.200000,-9.255000e-07,436.000000,-1.056000e-06,-512.000000,
-9.245000e-07,1.200000,-9.245000e-07,436.000000,-1.055000e-06,-512.000000,
-9.235000e-07,1.200000,-9.235000e-07,436.000000,-1.054000e-06,-512.000000,
-9.225000e-07,1.200000,-9.225000e-07,436.000000,-1.053000e-06,-512.000000,
-9.215000e-07,1.200000,-9.215000e-07,436.000000,-1.052000e-06,-512.000000,
-9.205000e-07,1.200000,-9.205000e-07,436.000000,-1.051000e-06,-512.000000,
-9.195000e-07,1.200000,-9.195000e-07,436.000000,-1.050000e-06,-512.000000,
-9.185000e-07,1.200000,-9.185000e-07,436.000000,-1.049000e-06,-512.000000,
